run_id,pipeline,total_rules,sop_files,errors,duration_sec,avg_confidence_overall,debate_rounds_total,total_primary_rules,total_secondary_rules,total_merged_rules,skip_debate
step2c_run_1778927639,step2c_multiagent,82,4,0,545.28,0.76,3,81,64,86,False
step2c_v2,step2c_multiagent,89,4,0,638.65,0.7624,6,82,79,106,False
step2c_v3,step2c_multiagent,90,4,0,539.01,0.7479,6,84,79,104,False
step2c_v3_norm,step2c_multiagent,84,4,0,701.66,0.7714,6,82,79,94,False
step2c_v4,step2c_multiagent,86,4,0,657.46,0.7344,6,81,79,96,False
step2c_v5,step2c_multiagent,84,4,0,438.49,0.764,1,81,78,91,False
step2c_v6,step2c_multiagent,88,4,0,695.15,0.7703,6,84,79,96,False
step2c_v8,step2c_multiagent,89,4,0,391.97,0.893,0,85,83,89,False
step2c_run_1778939370,step2c_multiagent,82,4,0,623.77,0.8921,3,85,84,98,False
step2c_v8,step2c_multiagent,86,4,0,376.38,0.9182,0,84,81,86,False
step2c_run_1778942353,step2c_multiagent,84,4,0,592.32,0.7671,3,79,73,90,False
step2c_run_1778946058,step2c_multiagent,90,4,0,553.94,0.7584,3,82,73,101,False
step2c_run_1778947372,step2c_multiagent,93,4,0,435.14,0.8805,1,82,74,93,False
step2c_run_1778948840,step2c_multiagent,81,4,0,551.5,0.753,4,81,78,96,False
step2c_run_1778951727,step2c_multiagent,89,4,0,489.85,0.7877,4,83,77,93,False
step2c_run_1778952808,step2c_multiagent,81,4,0,464.85,0.7805,0,79,80,84,False
step2c_run_1778958246,step2c_multiagent,87,4,0,371.44,0.7992,0,80,80,87,False
step2c_run_1778962834,step2c_multiagent,77,4,0,686.59,0.7748,6,80,81,86,False
step2c_run_1778965584,step2c_multiagent,90,4,0,811.93,0.5359,8,79,43,91,False
step2c_run_1778966988,step2c_multiagent,78,4,0,598.27,0.787,4,78,81,87,False
step2c_run_1778968110,step2c_multiagent,96,4,0,822.29,0.7441,6,75,81,90,False
step2c_run_1778969798,step2c_multiagent,65,4,0,561.86,0.7703,4,72,82,78,False
step2c_run_1778971057,step2c_multiagent,102,4,1,986.43,0.6923,6,86,75,102,False
