ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,run_frac
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP alarm thresholds,reduce speed by 10% and notify QC,WARNING,26.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-THR-ST01-FILL-TMP-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,Temperature ≤ 15°C at ST01_FILLING,Inspect and notify maintenance,CRITICAL,30.0,26.0,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,1.0
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS alarm thresholds,inspect inlet valve within 5 min,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-THR-ST01-FILL-PRS-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,Pressure ≤ 3 bar at ST01_FILLING,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3.0,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP alarm thresholds,"emergency stop ST02, ST03, ST04",CRITICAL,210.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-THR-ST02-TMP-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,Temperature ≤ 165°C at ST02_SEALING,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210.0,195.0,175.0,165.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-ST02-03,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR drift ><value> <unit> over <duration>,schedule maintenance,WARNING,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-ST02-04,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,ST02_SEALING-CUR CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,WARNING,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
MAINT-02,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,,,,A,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-THR-ST03-LABEL-TEN-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,Tension ≤ 1.5 N at ST03_LABELLING,Inspect and notify maintenance,CRITICAL,3.0,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT alarm thresholds,check for label jam. halt,CRITICAL,,,100.0,,pcs/min,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-THR-ST03-CNT-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,Count at ST03_LABELLING ≤ 100 pcs/min,E-STOP labelling; inspect label path,CRITICAL,140.0,130.0,110.0,100.0,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
MAINT-03,MaintenanceRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,samples,SOP_003_MaintenanceRules.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB alarm thresholds,schedule maintenance within 24 h,WARNING,0.35,,0.2,,mm/s,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB alarm thresholds,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-THR-ST04-PACK-VIB-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,Vibration ≤ 0.01 mm/s at ST04_PACKAGING,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-ST04-03,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,SPD drops below 1.00 m/s without operator command,verify RULE-ST02-04,WARNING,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP alarm thresholds,automatic controlled shutdown of all PLC nodes,CRITICAL,28.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-THR-SRV01-TMP-CRIT,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,Temperature ≤ 16°C at SRV01_SERVERROOM,Activate backup cooling; prepare controlled PLC,CRITICAL,28.0,25.0,18.0,16.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,1.0
RULE-THR-WRH01-WARE-TMP-CRIT,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,Temperature ≤ -1°C at WRH01_WAREHOUSE,Activate backup refrigeration; notify,CRITICAL,12.0,8.0,0.5,-1.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,1.0
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,HUM alarm thresholds,inspect door seals and activate dehumidifier,WARNING,85.0,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-THR-WRH01-WARE-HUM-CRIT,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,Humidity ≤ 55 %RH at WRH01_WAREHOUSE,Inspect and notify maintenance,CRITICAL,90.0,85.0,60.0,55.0,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,0.8
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,TMP alarm thresholds,activate emergency ventilation and notify safety officer immediately,CRITICAL,25.0,,10.0,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,HUM,HUM alarm thresholds,Activate desiccant system if HUM >45%RH,WARNING,50.0,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,few_shot_static,,,,,1.0
