ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,maintained between 112 and 128 L/min,,,,128,112,,L/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,exceeds 26°C,reduce speed by 10% and notify QC,Warning,,26,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drop below 3.3 bar,inspect inlet valve within 5 min,Critical,,,3.3,,bar,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,remain between 175°C and 195°C,,,,195,175,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,> 210°C (CRITICAL),"emergency stop ST02, ST03, ST04",Critical,210,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST02-04,DependencyRule,ST02_SEALING,CUR,Current,drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,between 1.8 and 2.6 N,,,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,"below 110 pcs/min (WARNING), below 100 (CRITICAL)",check for label jam; halt if CRITICAL,Critical,,,100,,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST03-03,FaultRule,ST03_LABELLING,TEN,Tension,STUCK >10 consecutive samples,sensor failure,Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.20 mm/s (WARNING),schedule maintenance within 24 h,Warning,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.35 mm/s (CRITICAL),emergency stop; inspect bearings,Critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-ST04-03,DependencyRule,ST04_PACKAGING,SPD,Speed,drops below 1.00 m/s without operator command,verify RULE-ST02-04,,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,MUST NOT exceed 25°C,,,25,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,> 28°C (CRITICAL),automatic controlled shutdown of all PLC nodes,Critical,28,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,remain between 0.5°C and 8°C; CRITICAL above 12°C,notify QC and quarantine batch,Critical,12,8,0.5,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,above 85%RH,inspect door seals and activate dehumidifier,Warning,,85,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,remain between 10°C and 20°C; CRITICAL above 25°C,activate emergency ventilation and notify safety officer,Critical,25,20,10,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,MUST NOT exceed 50%RH; activate desiccant system if >45%RH,activate desiccant system,Warning,50,45,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-CHM01-03,AccessControlRule,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,Access,Only personnel with hazmat training (technician/supervisor/manager role) are authorised,escalate within 2 minutes,Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,remain between 18°C and 26°C,,,,26,18,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_structured,1,ministral-3-14b_cot_structured_s42_run1,1,False
