ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,flowRate,MUST be maintained between,,,128,,,,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,temperature,exceeds,reduce speed by 10% and notify QC.,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,pressure,drops below,inspect inlet valve within 5 min.,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,temperature,MUST remain between,,,195,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,temperature,> ,"emergency stop ST02, ST03, ST04.",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
ST01_FILLING_TMP,ThresholdRule,Production Line A,TMP,,CRIT_LO,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
ST01_FILLING_PRS,ThresholdRule,Production Line A,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,4.8,4.2,3,3,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
ST01_FILLING_FLW,ThresholdRule,Production Line A,FLW,,CRIT_LO,Inspect and notify maintenance,CRITICAL,135,128,105,105,L/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
ST02_SEALING_TMP,ThresholdRule,Production Line A,TMP,,CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,,165,165,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
ST02_SEALING_PRS,ThresholdRule,Production Line A,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.2,4.2,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
ST02_SEALING_CUR,ThresholdRule,Production Line A,CUR,,CRIT_LO,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,,9.5,9.5,A,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing HIGH,HIGH,0.05,,,,mm/s,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False
