ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,condition own
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,between 112 and 128,maintain,Normal,,128,112,,L/min,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,> 26,reduce speed by 10% and notify QC,Warning,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,< 3.3,inspect inlet valve within 5 min,Warning,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,between 175 and 195,maintain,Normal,,195,175,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,> 210,"emergency stop ST02, ST03, ST04",Critical,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,> 1.5 A above nominal sustained >5 min,schedule maintenance,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,CUR drift correlates with ST04_PACKAGING-SPD,Monitor ST04_PACKAGING-SPD,Warning,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,between 1.8 and 2.6,maintain,Normal,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,"< 110 (Warn), < 100 (Crit)",check for label jam / halt,Critical,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
RULE-ST03-03,StatusRule,ST03_LABELLING,TEN,Tension,STUCK >10 consecutive samples,sensor failure,Critical,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run4,1,False,
