ruleId,sensor,severity,critHi,warnHi,warnLo,critLo,unit
RULE-ST01-01,ST01_FILLING_FLW,,128.0,128.0,112.0,112.0,L/min
RULE-ST01-02,ST01_FILLING_TMP,WARNING,—,26.0,—,—,°C
RULE-ST01-03,ST01_FILLING_PRS,,3.3,3.3,3.3,3.3,bar
RULE-ST02-01,ST02_SEALING_TMP,,195.0,195.0,175.0,175.0,°C
RULE-ST02-02,ST02_SEALING_TMP,CRITICAL,210.0,—,—,—,°C
RULE-ST03-01,ST03_LABELLING_TEN,,2.6,2.6,1.8,1.8,N
RULE-ST03-02,ST03_LABELLING_CNT,,110.0,110.0,100.0,100.0,pcs/min
RULE-ST04-01,ST04_PACKAGING_VIB,WARNING,0.2,0.2,—,—,mm/s
RULE-ST04-02,ST04_PACKAGING_VIB,CRITICAL,0.35,—,—,—,mm/s
RULE-ST04-03,ST04_PACKAGING_SPD,,—,—,—,—,m/s
RULE-SRV01-01,SRV01_SERVERROOM_TMP,,25.0,25.0,—,—,°C
RULE-SRV01-02,SRV01_SERVERROOM_TMP,CRITICAL,28.0,—,—,—,°C
RULE-WRH01-01,WRH01_WAREHOUSE_TMP,,8.0,8.0,0.5,0.5,°C
RULE-WRH01-02,WRH01_WAREHOUSE_HUM,CRITICAL,85.0,85.0,—,—,%RH
RULE-WRH01-03,WRH01_WAREHOUSE_HUM,,50.0,50.0,—,—,%RH
RULE-CHM01-01,CHM01_CHEMICALSTORAGE_TMP,,20.0,20.0,10.0,10.0,°C
RULE-CHM01-02,CHM01_CHEMICALSTORAGE_HUM,WARNING,85.0,85.0,—,—,%RH
RULE-CHM01-03,CHM01_CHEMICALSTORAGE_TMP,CRITICAL,25.0,—,—,—,°C
RULE-RND01-01,RND01_RDLAB_TMP,,26.0,26.0,18.0,18.0,°C
RULE-CAF01-01,CAF01_CAFETERIA_TMP,WARNING,26.0,26.0,—,—,°C
RULE-CAF01-02,CAF01_CAFETERIA_HUM,WARNING,70.0,70.0,—,—,%RH
RULE-CAF01-03,CAF01_CAFETERIA_TMP,WARNING,26.0,26.0,—,—,°C
RULE-THR-ST01_FILLING-TMP-CRIT,ST01_FILLING_TMP,CRITICAL,30.0,26.0,18.0,15.0,°C
RULE-THR-ST01_FILLING-PRS-CRIT,ST01_FILLING_PRS,CRITICAL,4.8,4.2,3.3,3.0,bar
RULE-THR-ST01_FILLING-FLW-CRIT,ST01_FILLING_FLW,CRITICAL,135.0,128.0,112.0,105.0,L/min
RULE-THR-ST02_SEALING-TMP-CRIT,ST02_SEALING_TMP,CRITICAL,210.0,195.0,175.0,165.0,°C
RULE-THR-ST02_SEALING-PRS-CRIT,ST02_SEALING_PRS,CRITICAL,6.2,5.7,4.6,4.2,bar
RULE-THR-ST02_SEALING-CUR-CRIT,ST02_SEALING_CUR,CRITICAL,15.0,13.5,11.0,9.5,A
RULE-THR-ST03_LABELLING-SPD-CRIT,ST03_LABELLING_SPD,CRITICAL,1.05,0.95,0.75,0.65,m/s
RULE-THR-ST03_LABELLING-TEN-CRIT,ST03_LABELLING_TEN,CRITICAL,3.0,2.6,1.8,1.5,N
RULE-THR-ST03_LABELLING-CNT-CRIT,ST03_LABELLING_CNT,CRITICAL,140.0,130.0,110.0,100.0,pcs/m in
RULE-THR-ST04_PACKAGING-VIB-CRIT,ST04_PACKAGING_VIB,CRITICAL,0.35,0.2,0.01,0.01,mm/s
RULE-THR-ST04_PACKAGING-CUR-CRIT,ST04_PACKAGING_CUR,CRITICAL,11.0,9.8,7.5,6.5,A
RULE-THR-ST04_PACKAGING-SPD-CRIT,ST04_PACKAGING_SPD,CRITICAL,1.6,1.4,0.85,0.65,m/s
RULE-THR-SRV01_SERVERROOM-TMP-CRIT,SRV01_SERVERROOM_TMP,CRITICAL,28.0,25.0,18.0,16.0,°C
RULE-THR-SRV01_SERVERROOM-HUM-CRIT,SRV01_SERVERROOM_HUM,CRITICAL,70.0,60.0,30.0,25.0,%RH
RULE-THR-WRH01_WAREHOUSE-TMP-CRIT,WRH01_WAREHOUSE_TMP,CRITICAL,12.0,8.0,0.5,-1.0,°C
RULE-THR-WRH01_WAREHOUSE-HUM-CRIT,WRH01_WAREHOUSE_HUM,CRITICAL,90.0,85.0,60.0,55.0,%RH
RULE-THR-CHM01_CHEMICALSTORAGE-TMP-CRIT,CHM01_CHEMICALSTORAGE_TMP,CRITICAL,25.0,20.0,10.0,5.0,°C
RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT,CHM01_CHEMICALSTORAGE_HUM,CRITICAL,60.0,50.0,35.0,15.0,%RH
RULE-THR-RND01_RDLAB-TMP-CRIT,RND01_RDLAB_TMP,CRITICAL,30.0,26.0,18.0,15.0,°C
RULE-THR-RND01_RDLAB-TEN-CRIT,RND01_RDLAB_TEN,CRITICAL,3.0,2.6,1.8,1.5,N
RULE-THR-CAF01_CAFETERIA-TMP-CRIT,CAF01_CAFETERIA_TMP,CRITICAL,30.0,26.0,18.0,15.0,°C
RULE-THR-CAF01_CAFETERIA-HUM-CRIT,CAF01_CAFETERIA_HUM,CRITICAL,80.0,70.0,35.0,25.0,%RH
