gtId,sensor,type,extracted-rules,oracle-thresholds,zscore-z2.5,zscore-z3,zscore-z3.5
GT-0001,ST02_SEALING_TMP,SPIKE,COVERED,COVERED,COVERED,COVERED,COVERED
GT-0002,ST01_FILLING_PRS,DRIFT,COVERED,COVERED,COVERED,COVERED,COVERED
GT-0003,ST04_PACKAGING_VIB,DRIFT,COVERED,COVERED,COVERED,COVERED,COVERED
GT-0004,ST03_LABELLING_TEN,STUCK,COVERED,GAP,GAP,GAP,GAP
GT-0005,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,COVERED,COVERED,COVERED,COVERED,COVERED
GT-0006,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,COVERED,COVERED,COVERED,COVERED,COVERED
GT-0007,ST01_FILLING_FLW,SPIKE,COVERED,COVERED,COVERED,COVERED,COVERED
GT-0008,ST02_SEALING_CUR,DRIFT,COVERED,COVERED,COVERED,COVERED,GAP
GT-0009,ST04_PACKAGING_SPD,CORRELATED,GAP,GAP,COVERED,COVERED,COVERED
GT-0010,ST03_LABELLING_CNT,OUT_OF_RANGE,COVERED,COVERED,COVERED,COVERED,COVERED
GT-0011,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,COVERED,COVERED,COVERED,COVERED,COVERED
GT-0012,WRH01_WAREHOUSE_TMP,DRIFT,COVERED,COVERED,COVERED,GAP,GAP
GT-0013,RND01_RDLAB_HUM,DRIFT,COVERED,COVERED,COVERED,COVERED,COVERED
GT-0014,ST04_PACKAGING_VIB,SPIKE,COVERED,COVERED,COVERED,COVERED,COVERED
