ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,run_id,doc_type_classified
ST01_FILLING_DEPENDENCY,MaintenanceRule,ST01_FILLING,,,Fault at ST01_FILLING,Propagates downstream unless line is halted,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,"FLW outside [112, 128] L/min",Maintain within bounds,MANDATORY,128,,112,,L/min,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST01-02,OperationalRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP > 26°C,Reduce speed by 10% and notify QC,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST01-03,OperationalRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS < 3.3 bar,Inspect inlet valve within 5 min,CRITICAL,,,3.3,,bar,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
ST02_SEALING_DEPENDENCY,MaintenanceRule,ST02_SEALING,,,Thermal fault at ST02_SEALING,Reduces speed at ST04_PACKAGING,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,"TMP outside [175, 195]°C",Maintain within bounds,MANDATORY,195,,175,,°C,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST02-02,OperationalRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP > 210°C,"Emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
ST03_LABELLING_DEPENDENCY,MaintenanceRule,ST03_LABELLING,,,Fault at ST03_LABELLING,Propagates downstream unless line is halted,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,"TEN outside [1.8, 2.6] N",Maintain within bounds,MANDATORY,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST03-02,OperationalRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT < 110 pcs/min,Check for label jam,WARNING,,,110,,pcs/min,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST03-02_CRITICAL,OperationalRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT < 100 pcs/min,Halt,CRITICAL,,,100,,pcs/min,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST03-03,MaintenanceRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN stuck >10 consecutive samples,Sensor failure,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
ST04_PACKAGING_DEPENDENCY,MaintenanceRule,ST04_PACKAGING,,,Fault at ST04_PACKAGING,Propagates downstream (final output),CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.20 mm/s,Schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST04-02,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.35 mm/s,Emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-ST04-03,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,SPD drops below 1.00 m/s without operator command,Verify RULE-ST02-04 (CUR drift correlation),CRITICAL,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
SRV01_SERVERROOM_DEPENDENCY,MaintenanceRule,SRV01_SERVERROOM,,,HVAC failure at SRV01_SERVERROOM,Line halt,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP > 25°C,Avoid exceeding 25°C,WARNING,25,,,,°C,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-SRV01-02,OperationalRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP > 28°C,Automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
WRH01_WAREHOUSE_DEPENDENCY,MaintenanceRule,WRH01_WAREHOUSE,,,COMPRESSOR failure at WRH01_WAREHOUSE,Cold storage - product quality risk,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,"TMP outside [0.5, 8]°C",Maintain within bounds,MANDATORY,8,,0.5,,°C,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-WRH01-01_CRIT,OperationalRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,TMP > 12°C,Notify QC and quarantine batch,CRITICAL,12,,,,°C,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-WRH01-02,OperationalRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,HUM > 85%RH,Inspect door seals and activate dehumidifier,WARNING,,85,,,%RH,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
CHM01_CHEMICALSTORAGE_DEPENDENCY,MaintenanceRule,CHM01_CHEMICALSTORAGE,,,HVAC failure at CHM01_CHEMICALSTORAGE,Safety-critical hazard risk,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,"TMP outside [10, 20]°C",Maintain within bounds,MANDATORY,20,,10,,°C,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-CHM01-01_CRIT,OperationalRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,TMP > 25°C,Activate emergency ventilation and notify safety officer immediately,CRITICAL,25,,,,°C,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,HUM,HUM > 50%RH,Avoid exceeding 50%RH,WARNING,50,,,,%RH,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-CHM01-02_DEHUMIDIFIER,OperationalRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,HUM,HUM > 45%RH,Activate desiccant system,WARNING,,45,,,%RH,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-CHM01-03,OperationalRule,CHM01_CHEMICALSTORAGE,,,UNAUTHORIZED_ACCESS,Must be escalated within 2 minutes,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,TMP,"TMP outside [18, 26]°C",Maintain within bounds for experimental validity,MANDATORY,26,,18,,°C,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-RND01-02,OperationalRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,HUM drift above 65%RH,Activate dehumidifier,WARNING,,65,,,%RH,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-RND01-02_CRITICAL,OperationalRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,HUM > 75%RH,Suspend sensitive experiments and inspect HVAC system,CRITICAL,75,,,,%RH,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,TMP,TMP > 26°C,Check ventilation system,WARNING,26,,,,°C,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-CAF01-02,OperationalRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,HUM,HUM > 70%RH,Inspect drainage and activate ventilation,WARNING,,70,,,%RH,SOP_001_OperatingProcedures.txt,agentic_s42_run1,mixed
RULE-THR-ST01-TMP-CRIT,ThresholdRule,ST01,ST01_TMP,TMP,"Temperature outside [15, 30] °C",Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-ST01-PRS-CRIT,ThresholdRule,ST01,ST01_PRS,PRS,"Pressure outside [3, 4.8] bar",Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-ST01-FLW-CRIT,ThresholdRule,ST01,ST01_FLW,FLW,"Flow outside [105, 135] L/min",Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-ST02-TMP-CRIT,ThresholdRule,ST02,ST02_TMP,TMP,"Temperature outside [165, 210] °C",E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-THR-ST02-PRS-CRIT,ThresholdRule,ST02,ST02_PRS,PRS,"Pressure outside [4.2, 6.2] bar",Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
RULE-ST02-04,ThresholdRule,ST02,ST02_CUR,CUR,"Current outside [9.5, 15] A",E-STOP; inspect load; verify ST04-SPD,CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,agentic_s42_run1,tabular
