item,corpus,gt_id,pred_id,combined_score,decision
P001,dev_production_line,RULE-ACK-SEC-CRIT,SOP004PERSON-054,0.7077,TP (counted as found)
P002,external_test_desalination,[OP-ST-002] The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,OP-ST-002,0.4772,REJECTED (below threshold)
P003,external_test_sulfuric_acid,R005,3.1,0.7103,TP (counted as found)
P004,external_test_biogas,R31,3.2,0.9387,TP (counted as found)
P005,external_test_biogas,R42,5.1,0.7116,TP (counted as found)
P006,external_test_sulfuric_acid,R068,SOPSAMNT008-011,0.892,TP (counted as found)
P007,external_test_biogas,R22,SOPBDG003MID-017,0.4172,REJECTED (below threshold)
P008,external_test_biogas,R33,3.4,0.5788,REJECTED (below threshold)
P009,dev_production_line,RULE-ACK-SEC-WARN,SOP004PERSON-049,0.5552,REJECTED (below threshold)
P010,external_test_biogas,R17,SOPBDG003MID-008,0.8841,TP (counted as found)
P011,external_test_biogas,R11,SOPBDG003MID-006,0.6963,TP (counted as found)
P012,dev_production_line,RULE-WRH01-01a,SOP001OPERAT-007,0.5141,REJECTED (below threshold)
P013,dev_production_line,RULE-OCC-CAFETERIA,SOP001OPERAT-010,0.6746,TP (counted as found)
P014,external_test_sulfuric_acid,R024,SOPSAOP002-012,0.6576,TP (counted as found)
P015,external_test_desalination,"[OP-ST-004] If permeate conductivity fails to drop below baseline within 20 minutes, immediately execute the shutdown sequence mandated by [OP-SD-001].",OP-ST-004,0.8146,TP (counted as found)
P016,external_test_biogas,R08,SOPBDG003MID-004,0.7407,TP (counted as found)
P017,external_test_sulfuric_acid,R057,5.1,0.5006,REJECTED (below threshold)
P018,external_test_sulfuric_acid,R003,2.3,0.4785,REJECTED (below threshold)
P019,external_test_sulfuric_acid,R002,SOPSAOP002-002,0.4316,REJECTED (below threshold)
P020,external_test_desalination,Maintenance_Tech | CIP_Cleaning | Full access,SOPROV4HIGHP-015,0.8548,TP (counted as found)
P021,external_test_desalination,[OP-ST-001] The high-pressure intake pump must ramp up at a maximum rate of 0.5 bar per minute to prevent membrane telescoping.,OP-ST-001,0.3896,REJECTED (below threshold)
P022,external_test_biogas,R40,4.6,0.719,TP (counted as found)
P023,dev_production_line,RULE-ACK-OP-CRIT,SOP001OPERAT-001,0.4724,REJECTED (below threshold)
P024,dev_production_line,RULE-ACCESS-03,RULE-ACCESS-03,0.7239,TP (counted as found)
P025,external_test_sulfuric_acid,R027,6.3,0.8791,TP (counted as found)
P026,external_test_biogas,R22,SOPBDG003MID-017,0.405,REJECTED (below threshold)
P027,external_test_desalination,"[OP-ST-003] During startup, the permeate bypass valve must remain fully open, and the brine reject flow must be logged every 10 minutes.",OP-ST-003,0.6321,TP (counted as found)
P028,external_test_sulfuric_acid,R003,2.3,0.4462,REJECTED (below threshold)
P029,dev_production_line,MAINT-03,MAINT-03,0.858,TP (counted as found)
P030,dev_production_line,RULE-THR-ST01-TMP-CRIT,SOP002ALARMT-002,0.8354,TP (counted as found)
P031,external_test_biogas,R22,SOPBDG003MID-017,0.4228,REJECTED (below threshold)
P032,dev_production_line,RULE-WRH01-01b,RULE-WRH01-01,0.8185,TP (counted as found)
P033,external_test_sulfuric_acid,R029,7.2,0.838,TP (counted as found)
P034,dev_production_line,RULE-ST03-02b,SOP001OPERAT-004,0.4662,REJECTED (below threshold)
P035,external_test_desalination,[OP-ST-002] The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,OP-ST-002,0.4652,REJECTED (below threshold)
P036,external_test_desalination,"[OP-ST-003] During startup, the permeate bypass valve must remain fully open, and the brine reject flow must be logged every 10 minutes.",OP-ST-003,0.4769,REJECTED (below threshold)
P037,external_test_sulfuric_acid,R034,2.1,0.4332,REJECTED (below threshold)
P038,external_test_desalination,"[OP-AL-001] Membrane Feed Pressure requires strict monitoring against a target of 55.0 bar. A low-tier alert triggers at 52.0 bar, while a critical low trip occurs at 50.0 bar. A high-tier alert sounds at 58.0 bar, and a critical high trip forces shutdown at 60.0 bar.",[OP-AL-001],0.7158,TP (counted as found)
P039,external_test_desalination,[OP-SD-001] The main feed breaker must be tripped immediately if catastrophic seal failure occurs.,OP-SD-001,0.4008,REJECTED (below threshold)
P040,external_test_biogas,R34,4.1,0.9044,TP (counted as found)
P041,external_test_desalination,"[OP-AL-001] Membrane Feed Pressure requires strict monitoring against a target of 55.0 bar. A low-tier alert triggers at 52.0 bar, while a critical low trip occurs at 50.0 bar. A high-tier alert sounds at 58.0 bar, and a critical high trip forces shutdown at 60.0 bar.",OP-AL-001,0.7084,TP (counted as found)
P042,external_test_sulfuric_acid,R018,SOPSAOP002-010,0.7384,TP (counted as found)
