ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Liter_per_min,between 112 and 128,maintain,INFO,128.0,128.0,112.0,112.0,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Celsius,greater than 26,reduce speed by 10% and notify QC,WARNING,26.0,26.0,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Bar,fall below 3.3,inspect inlet valve within 5 min,WARNING,3.3,3.3,,3.3,Bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Celsius,between 175 and 195,maintain,INFO,195.0,195.0,175.0,175.0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST02-02,AlarmRule,ST02_SEALING,TMP,Celsius,greater than 210,emergency stop ST02 ST03 ST04,CRITICAL,210.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST02-03,AnomalyRule,ST02_SEALING,CUR,Ampere,increase greater than 1.5 above nominal sustained for more than 5 min,schedule maintenance,WARNING,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,ST04_PACKAGING-SPD,Meter_per_sec,monitor speed reduction whenever CUR triggers warning state,monitor,WARNING,,,,,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Newton,between 1.8 and 2.6,maintain,INFO,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,pcs_per_min,below 110,check for label jam,WARNING,110.0,110.0,,,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST03-03,CountRule,ST03_LABELLING,TEN_STUCK,Count,>10 consecutive samples,sensor failure,CRITICAL,,,,,Count,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,mm_per_sec,greater than 0.20,schedule maintenance within 24 h,WARNING,0.20,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,mm_per_sec,greater than 0.35,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-ST04-03,AnomalyRule,ST04_PACKAGING,SPD,m_per_sec,drops below 1.00 without operator command,verify RULE-ST02-04 cause,WARNING,1.00,1.00,,1.00,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Celsius,NOT exceed 25,maintain,INFO,25.0,25.0,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-SRV01-02,AlarmRule,SRV01_SERVERROOM,TMP,Celsius,greater than 28,automatic controlled shutdown of all PLC nodes,CRITICAL,28.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Celsius,remain between 0.5 and 8,maintain,INFO,8.0,8.0,0.5,0.5,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,percentRH,above 85,inspect door seals and activate dehumidifier,INFO,85.0,85.0,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Celsius,remain between 10 and 20; critical above 25,activate emergency ventilation and notify safety officer immediately,CRITICAL,25.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,percentRH,NOT exceed 50; elevated humidity above 45,activate desiccant system,WARNING,50.0,50.0,45.0,45.0,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-CHM01-03,UnauthorizedAccessRule,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,Role,detected,escalate within 2 minutes,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Celsius,remain between 18 and 26,maintain for experimental validity,INFO,26.0,26.0,18.0,18.0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-RND01-02,AnomalyRule,RND01_RDLAB,HUM,percentRH,drift above 65,activate dehumidifier,WARNING,65.0,65.0,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-RND01-03,AlarmRule,RND01_RDLAB,HUM,percentRH,above 75,suspend sensitive experiments and inspect HVAC system,CRITICAL,75.0,,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Celsius,above 26,check ventilation system,WARNING,26.0,26.0,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,percentRH,above 70,inspect drainage and activate ventilation,WARNING,70.0,70.0,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_ST01_FILLING_TMP,ThresholdRule,ST01,ST01_FILLING_TMP,TMP,TMP,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_ST01_FILLING_PRS,ThresholdRule,ST01,ST01_FILLING_PRS,PRS,PRS,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_ST01_FILLING_FLW,ThresholdRule,ST01,ST01_FILLING_FLW,FLW,FLW,Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_ST02_SEALING_TMP,ThresholdRule,ST02,ST02_SEALING_TMP,TMP,TMP,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_ST02_SEALING_CUR,ThresholdRule,ST02,ST02_SEALING_CUR,CUR,CUR,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_ST03_LABELLING_SPD,ThresholdRule,ST03,ST03_LABELLING_SPD,SPD,SPD,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_ST03_LABELLING_TEN,ThresholdRule,ST03,ST03_LABELLING_TEN,TEN,TEN,Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_ST03_LABELLING_CNT,ThresholdRule,ST03,ST03_LABELLING_CNT,CNT,CNT,E-STOP labelling; inspect label path,CRITICAL,140,130,110,100,pcs/m,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_ST04_PACKAGING_VIB,ThresholdRule,ST04,ST04_PACKAGING_VIB,VIB,VIB,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_ST04_PACKAGING_CUR,ThresholdRule,ST04,ST04_PACKAGING_CUR,CUR,CUR,Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_ST04_PACKAGING_SPD,ThresholdRule,ST04,ST04_PACKAGING_SPD,SPD,SPD,Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_SRV01_SERVERROOM_TMP,ThresholdRule,SRV01,SRV01_SERVERROOM_TMP,TMP,TMP,Activate backup cooling; prepare controlled PLC shutdown,CRITICAL,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_SRV01_SERVERROOM_HUM,ThresholdRule,SRV01,SRV01_SERVERROOM_HUM,HUM,HUM,Inspect and notify maintenance,CRITICAL,70,60,30,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_WRH01_WAREHOUSE_TMP,ThresholdRule,WRH01,WRH01_WAREHOUSE_TMP,TMP,TMP,Activate backup refrigeration; notify,CRITICAL,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_WRH01_WAREHOUSE_HUM,ThresholdRule,WRH01,WRH01_WAREHOUSE_HUM,HUM,HUM,Inspect and notify maintenance,CRITICAL,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_CHM01_CHEMICALSTORAGE_TMP,ThresholdRule,CHM01,CHM01_CHEMICALSTORAGE_TMP,TMP,TMP,Activate emergency ventilation; notify safety officer immediately,CRITICAL,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_CHM01_CHEMICALSTORAGE_HUM,ThresholdRule,CHM01,CHM01_CHEMICALSTORAGE_HUM,HUM,HUM,Activate desiccant system; inspect storage containers for leaks,CRITICAL,60,50,20,15,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_RND01_RDLAB_TMP,ThresholdRule,RND01,RND01_RDLAB_TMP,TMP,TMP,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_RND01_RDLAB_HUM,ThresholdRule,RND01,RND01_RDLAB_HUM,HUM,HUM,Suspend experiments; inspect HVAC system,CRITICAL,75,65,35,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_CAF01_CAFETERIA_TMP,ThresholdRule,CAF01,CAF01_CAFETERIA_TMP,TMP,TMP,Inspect and notify maintenance,CRITICAL,30,26,17,14,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
SOP-001_CAF01_CAFETERIA_HUM,ThresholdRule,CAF01,CAF01_CAFETERIA_HUM,HUM,HUM,Inspect and notify maintenance,CRITICAL,80,70,35,25,%RH,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
MAINT-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,DRIFT > 0.05,Inspect and lubricate bearing,HIGH,0.05,,,,mm/s,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
MAINT-02,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CUR,DRIFT > 1.0,Inspect sealing jaw,HIGH,1.0,,,,A,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
MAINT-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,STUCK > 10,Replace sensor,MEDIUM,10,,,,samples,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
MAINT-04,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,< 3.3,Inspect filter and pump,MEDIUM,3.3,,3.3,3.3,bar,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
MAINT-05,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,> 25,Activate secondary cooling,CRITICAL,25,,25,25,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
MAINT-06,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,DRIFT > 2,Inspection of the compressor; notification of quality control,CRITICAL,2,,2,2,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,> 20,Emergency ventilation; notification of safety officer,CRITICAL,20,,20,20,°C,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
MAINT-08,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,DRIFT > 10,Activation of dehumidifier; verification of HVAC drain,HIGH,10,,10,10,%RH,SOP_003_MaintenanceRules.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3,3,False
